дата;открытие;закрытие;мин;макс
27/09/18;117450;117510;117440;117510
27/09/18;117510;117560;117510;117570
27/09/18;117560;117600;117540;117600
27/09/18;117590;117560;117550;117600
27/09/18;117560;117500;117490;117560
27/09/18;117490;117510;117480;117520
27/09/18;117500;117500;117490;117520
27/09/18;117510;117550;117510;117580
27/09/18;117560;117590;117540;117590
27/09/18;117560;117500;117490;117570
27/09/18;117510;117560;117510;117580
27/09/18;117560;117530;117500;117560
27/09/18;117530;117530;117520;117550
27/09/18;117530;117530;117520;117570
27/09/18;117530;117510;117480;117530
27/09/18;117500;117470;117450;117510
27/09/18;117450;117480;117450;117480
27/09/18;117460;117460;117430;117460
27/09/18;117450;117470;117440;117490
27/09/18;117480;117450;117450;117480
27/09/18;117460;117490;117440;117500
27/09/18;117490;117470;117470;117510
27/09/18;117460;117480;117450;117500
27/09/18;117480;117480;117470;117490
27/09/18;117490;117480;117470;117490
27/09/18;117480;117490;117480;117500
27/09/18;117500;117510;117490;117520
27/09/18;117520;117530;117520;117540
27/09/18;117530;117520;117520;117540
27/09/18;117530;117500;117490;117530
27/09/18;117500;117530;117500;117530
27/09/18;117520;117530;117500;117550
27/09/18;117540;117530;117520;117550
27/09/18;117530;117480;117480;117540
27/09/18;117490;117460;117460;117510
27/09/18;117460;117490;117460;117490
27/09/18;117480;117480;117470;117500
27/09/18;117480;117450;117420;117480
27/09/18;117460;117420;117420;117460
27/09/18;117420;117420;117400;117450
27/09/18;117410;117420;117410;117440
27/09/18;117440;117430;117430;117440
27/09/18;117440;117450;117410;117470
27/09/18;117460;117470;117440;117470
27/09/18;117480;117450;117430;117490
27/09/18;117450;117470;117430;117470
27/09/18;117470;117490;117460;117490
27/09/18;117480;117500;117480;117500
27/09/18;117500;117500;117490;117510
27/09/18;117510;117500;117490;117520
27/09/18;117490;117480;117480;117490
27/09/18;117480;117620;117460;117640
27/09/18;117610;117580;117520;117620
27/09/18;117560;117550;117550;117570
27/09/18;117540;117550;117540;117560
27/09/18;117550;117570;117550;117570
27/09/18;117570;117550;117540;117570
27/09/18;117560;117550;117550;117560
27/09/18;117540;117540;117530;117560
27/09/18;117550;117550;117530;117550
27/09/18;117550;117540;117530;117560
27/09/18;117550;117520;117520;117550
27/09/18;117520;117540;117520;117540
27/09/18;117530;117570;117530;117570
27/09/18;117560;117570;117550;117570
27/09/18;117570;117560;117560;117590
27/09/18;117560;117560;117550;117560
27/09/18;117550;117540;117540;117560
27/09/18;117550;117520;117520;117560
27/09/18;117520;117470;117450;117520
27/09/18;117460;117460;117450;117470
27/09/18;117460;117480;117440;117490
27/09/18;117470;117490;117470;117510
27/09/18;117490;117470;117470;117500
27/09/18;117480;117500;117480;117510
27/09/18;117490;117540;117480;117540
27/09/18;117520;117510;117510;117530
27/09/18;117520;117540;117500;117540
27/09/18;117530;117510;117510;117530
27/09/18;117500;117470;117460;117500
27/09/18;117460;117430;117420;117480
27/09/18;117420;117450;117410;117450
27/09/18;117450;117460;117440;117470
27/09/18;117460;117470;117460;117470
27/09/18;117460;117430;117430;117460
27/09/18;117430;117420;117410;117460
27/09/18;117410;117370;117350;117430
27/09/18;117380;117360;117350;117380
27/09/18;117350;117430;117350;117430
27/09/18;117440;117410;117410;117440
27/09/18;117400;117400;117400;117400
27/09/18;117390;117360;117360;117390
27/09/18;117360;117370;117360;117370
27/09/18;117360;117360;117360;117380
27/09/18;117360;117360;117350;117370
27/09/18;117360;117320;117320;117370
27/09/18;117320;117310;117300;117350
27/09/18;117310;117370;117310;117370
27/09/18;117350;117340;117340;117370
27/09/18;117350;117370;117340;117370
27/09/18;117360;117330;117300;117360
27/09/18;117320;117330;117320;117350
27/09/18;117330;117320;117310;117350
27/09/18;117320;117330;117320;117340
27/09/18;117320;117340;117320;117370
27/09/18;117360;117370;117360;117370
27/09/18;117360;117380;117350;117390
27/09/18;117380;117380;117370;117400
27/09/18;117370;117390;117370;117400
27/09/18;117400;117390;117380;117400
27/09/18;117380;117360;117350;117380
27/09/18;117350;117340;117310;117350
27/09/18;117350;117360;117350;117380
27/09/18;117360;117320;117320;117370
27/09/18;117320;117310;117310;117320
27/09/18;117310;117350;117300;117350
27/09/18;117350;117350;117340;117370
27/09/18;117350;117350;117350;117370
27/09/18;117350;117330;117320;117350
27/09/18;117320;117310;117300;117320
27/09/18;117300;117330;117280;117330
27/09/18;117330;117360;117330;117360
27/09/18;117350;117350;117330;117360
27/09/18;117340;117340;117320;117340
27/09/18;117330;117340;117330;117350
27/09/18;117330;117350;117310;117370
27/09/18;117350;117360;117350;117370
27/09/18;117370;117360;117360;117390
27/09/18;117370;117510;117370;117610
27/09/18;117510;117400;117380;117510
27/09/18;117380;117370;117320;117390
27/09/18;117370;117370;117360;117390
27/09/18;117380;117340;117340;117380
27/09/18;117350;117360;117350;117370
27/09/18;117360;117350;117330;117380
27/09/18;117330;117350;117310;117350
27/09/18;117350;117310;117300;117350
27/09/18;117330;117340;117320;117340
27/09/18;117320;117330;117310;117340
27/09/18;117340;117340;117330;117360
27/09/18;117330;117360;117300;117360
27/09/18;117350;117350;117350;117350
27/09/18;117350;117330;117330;117360
27/09/18;117320;117320;117300;117340
27/09/18;117320;117290;117270;117320
27/09/18;117270;117270;117250;117290
27/09/18;117260;117270;117250;117270
27/09/18;117260;117250;117250;117270
